Data Source,Component,Source,Relationship,Target,OSSEM Id,EventID,Event Name,Event Platform,Log Source,Filter in Log,Audit Category,Audit Sub-Category,Enable Commands,GPO Audit Policy
User Account,user account authentication,user,attempted to authenticate from,port,REL-2022-0001,4624,An account was successfully logged on.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate from,port,REL-2022-0001,4625,An account failed to log on.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Account Lockout,auditpol /set /subcategory:Account Lockout /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Account Lockout
User Account,user account authentication,user,attempted to authenticate from,port,REL-2022-0001,4648,A logon was attempted using explicit credentials.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
User Account,user account authentication,user,attempted to authenticate from,port,REL-2022-0001,DeviceLogonEvents,DeviceLogonEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'LogonSuccess'}],,,,
User Account,user account creation,user,created,user,REL-2022-0002,4720,A user account was created.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account creation,user,created,user,REL-2022-0002,4741,A computer account was created.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Computer Account Management,auditpol /set /subcategory:Computer Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Computer Account Management
User Account,user account creation,user,created,user,REL-2022-0002,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'UserAccountCreated'}],,,,
User Account,user account modification,user,modified,user,REL-2022-0003,4738,A user account was changed.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account modification,user,modified,user,REL-2022-0003,4781,The name of an account was changed.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account modification,user,modified,user,REL-2022-0003,4742,A computer account was changed.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Computer Account Management,auditpol /set /subcategory:Computer Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Computer Account Management
User Account,user account modification,user,modified,user,REL-2022-0003,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'UserAccountModified'}],,,,
Process,process termination,user,terminated,process,REL-2022-0004,4689,A process has exited.,windows,Microsoft-Windows-Security-Auditing,,Detailed Tracking,Process Termination,auditpol /set /subcategory:Process Termination /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Termination
Process,process termination,user,terminated,process,REL-2022-0004,5,Process terminated.,windows,sysmon,,ProcessTerminate,,<ProcessTerminate onmatch='exclude' />,
Process,process termination,user,terminated,process,REL-2022-0004,5,Process terminated.,linux,sysmon,,ProcessTerminate,,,
Process,process access,user,accessed,process,REL-2022-0006,4663,An attempt was made to access an object.,windows,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'Process'}],Object Access,Kernel Object,auditpol /set /subcategory:Kernel Object /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Kernel Object
Process,process access,user,accessed,process,REL-2022-0006,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'OpenProcessApiCall'}],,,,
Network Traffic,network connection creation,process,connected from,port,REL-2022-0007,5156,The Windows Filtering Platform has permitted a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected from,port,REL-2022-0007,3,Network connection.,windows,sysmon,,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected from,port,REL-2022-0007,3,Network connection.,linux,sysmon,,NetworkConnect,,,
Network Traffic,network connection creation,process,connected from,port,REL-2022-0007,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'InboundConnectionAccepted'}],,,,
Firewall,firewall metadata,user,retrieved information about,firewall,REL-2022-0008,cloudtrail,cloudtrail,aws,cloudtrail,"[{'eventName': 'DescribeFirewall'}, {'eventType': 'AwsApiCall'}]",,,,
Firewall,firewall metadata,user,retrieved information about,firewall,REL-2022-0008,cloudtrail,cloudtrail,aws,cloudtrail,"[{'eventName': 'DescribeFirewallPolicy'}, {'eventType': 'AwsApiCall'}]",,,,
User Account,user account modification,user,locked,user,REL-2022-0009,4740,A user account was locked out.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Network Traffic,network connection creation,host,blocked port bind on,port,REL-2022-0010,5159,The Windows Filtering Platform has blocked a bind to a local port.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection to,port,REL-2022-0012,5157,The Windows Filtering Platform has blocked a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection to,port,REL-2022-0012,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ConnectionAttempt'}],,,,
Windows Registry,windows registry key access,user,requested access to,windows registry key,REL-2022-0013,4656,A handle to an object was requested.,windows,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'Key'}],Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Module,module load,user,loaded,module,REL-2022-0014,7,Image loaded.,windows,sysmon,,ImageLoad,,<ImageLoad onmatch='exclude' />,
Module,module load,user,loaded,module,REL-2022-0014,DeviceImageLoadEvents,DeviceImageLoadEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ImageLoaded'}],,,,
Active Directory,active directory object access,user,requested access to,ad object,REL-2022-0015,4661,A handle to an object was requested.,windows,Microsoft-Windows-Security-Auditing,,DS Access,Directory Service Access,auditpol /set /subcategory:Directory Service Access /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Access
Network Traffic,network connection creation,process,connected to,ip,REL-2022-0017,5156,The Windows Filtering Platform has permitted a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,connected to,ip,REL-2022-0017,3,Network connection.,windows,sysmon,,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected to,ip,REL-2022-0017,3,Network connection.,linux,sysmon,,NetworkConnect,,,
Network Traffic,network connection creation,process,connected to,ip,REL-2022-0017,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ConnectionSuccess'}],,,,
Command,command execution,user,executed,command,REL-2022-0018,4688,A new process has been created.,windows,Microsoft-Windows-Security-Auditing,,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Command,command execution,user,executed,command,REL-2022-0018,1,Process Creation.,windows,sysmon,,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Command,command execution,user,executed,command,REL-2022-0018,4103,Module logging.,windows,powershell,,,,,
Command,command execution,user,executed,command,REL-2022-0018,DeviceProcessEvents,DeviceProcessEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ProcessCreated'}],,,,
User Account,user account modification,user,unlocked,user,REL-2022-0019,4767,A user account was unlocked.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
File,file deletion,process,deleted,file,REL-2022-0020,23,File Delete archived.,windows,sysmon,,FileDelete,,<FileDelete onmatch='exclude' />,
File,file deletion,process,deleted,file,REL-2022-0020,23,File Delete archived.,linux,sysmon,,FileDelete,,,
File,file deletion,process,deleted,file,REL-2022-0020,26,File Delete logged.,windows,sysmon,,FileDeleteDetected,,<FileDeleteDetected onmatch='exclude' />,
File,file deletion,process,deleted,file,REL-2022-0020,4660,An object was deleted.,windows,,,Object Access,File System,,
File,file deletion,process,deleted,file,REL-2022-0020,DeviceFileEvents,DeviceFileEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'FileDeleted'}],,,,
File,file deletion,process,deleted,file,REL-2022-0020,4663,An attempt was made to access an object.,windows,Microsoft-Windows-Security-Auditing,,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Network Traffic,network connection creation,host,blocked listener on,ip,REL-2022-0022,5155,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
User Account,user account modification,user,enabled,user,REL-2022-0024,4722,A user account was enabled.,windows,Microsoft-Windows-Security-Auditing,,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
User Account,user account modification,user,enabled,user,REL-2022-0024,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'UserAccountModified'}],,,,
Firewall,firewall rule modification,firewall rule,modified,,REL-2022-0025,4947,A change has been made to Windows Firewall exception list. A rule was modified.,windows,Microsoft-Windows-Security-Auditing,,Policy Change,MPSSVC Rule-Level Policy Change,auditpol /set /subcategory:MPSSVC Rule-Level Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit MPSSVC Rule-Level Policy Change
Cloud Service,cloud service modification,user,modified,cloud service,REL-2022-0026,cloudtrail,cloudtrail,aws,cloudtrail,"[{'eventName': 'UpdateTrail'}, {'eventType': 'AwsApiCall'}]",,,,
Network Traffic,network connection creation,host,blocked connection from,port,REL-2022-0028,5157,The Windows Filtering Platform has blocked a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection from,port,REL-2022-0028,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'FirewallInboundConnectionBlocked'}],,,,
Process,process metadata,process,terminated,,REL-2022-0029,5,Process terminated.,windows,sysmon,,ProcessTerminate,,<ProcessTerminate onmatch='exclude' />,
Process,process metadata,process,terminated,,REL-2022-0029,5,Process terminated.,linux,sysmon,,ProcessTerminate,,,
